N1,N2,D,C_real1,C_real2
2,0,1,499,494.16082902420578
2,0,1,502,497.63908646246801
2,0,1,505,500.85978412644926
2,0,1,509,504.67715856987513
2,0,1,513,508.70977389078132
2,0,1,517,512.35930934220642
2,0,1,521,516.07481734989756
2,0,1,523.5,518.94787281772381
2,0,1,526,521.63388966696527
3,0,1,532,527.21556260612033
3,0,1,538,533.40267450890099
3,0,1,544.5,539.54192217370473
3,0,1,551,546.14749610805188
3,0,1,552.5,547.70350697419246
3,0,1,554,548.91389287458355
3,0,1,557.5,552.71061044079943
3,0,1,561,555.5927421662517
3,0,1,561.5,556.10786483830066
3,0,1,562,556.62287130906225
3,0,1,560.5,555.0410925500272
3,0,1,559,553.41997687586513
3,0,1,560,555.32053983186609
3,0,1,561,555.53178357153695
3,0,1,562.5,557.8632534980386
3,0,1,564,558.67663758015658
3,0,1,564,558.67192110579902
3,0,1,564,558.9470491902423
3,0,1,563.5,558.05827174542014
3,0,1,563,557.37497623088598
3,0,1,564.5,558.93558227813548
3,0,1,566,560.6524366226198
3,0,1,568,563.09757067807425
3,0,1,570,565.27178357103901
3,0,1,572,566.41209499330137
3,0,1,574,568.47924077030859
3,0,1,573,568.11104714484054
3,0,1,572,567.20281508600556
3,0,1,572.5,567.27499550196831
3,0,1,573,568.17771466289446
3,0,1,574,568.88217212137818
3,0,1,575,569.6251092317757
3,0,1,574,568.38193730697037
3,0,1,573,568.22615739187427
3,0,1,570.5,565.52641769357547
3,0,1,568,563.17259826003192
3,0,1,569.5,564.27957350418012
3,0,1,571,566.25831218379767
3,0,1,574,568.71172715058071
3,0,1,577,571.7881691314642
3,0,1,581.5,576.35813579519856
3,0,1,586,580.60688334140923
4,0,1,590.5,584.71107048212627
4,0,1,595,589.35217887806209
4,0,1,595,590.03026665026505
4,0,1,595,589.55923254618108
4,0,1,593.5,588.53721308960633
4,0,1,592,586.15317059115409
4,0,1,592,586.24070315403731
4,0,1,592,586.85821099601048
4,0,1,592,586.46920921726144
4,0,1,592,587.04180967364243
4,0,1,593,587.38187782916361
4,0,1,590,584.15317899046977
4,0,1,594,589.04000928418304
4,0,1,595,589.22585895698296
4,0,1,596,590.99610846725886
4,0,1,597,591.14758348712292
4,0,1,595,589.05607310763003
4,0,1,598,592.46378035424675
4,0,1,596,590.09575472037955
4,0,1,593,587.326616621482
4,0,1,593,587.63253813205347
4,0,1,595,589.90415685693745
4,0,1,605,599.80784668531339
4,0,1,604,598.5439952922859
4,0,1,602,596.45120216057364
4,0,1,603,597.91061304532161
4,0,1,603,597.12161713153898
4,0,1,603,597.63111749370421
4,0,1,604,598.28630143892065
4,0,1,611,605.56096559025707
4,0,1,612,606.32865531222501
4,0,1,612,606.56796723010291
4,0,1,610,604.56430943125622
0,0,1,604,598.43334997502154
0,0,1,595,589.34332275323754
0,0,1,583,578.06612279428191
0,0,1,569,563.58854668032154
0,0,1,559,553.41247390685567
0,0,1,549,544.50452015452709
0,0,1,545,539.76539685554803
0,0,1,538,532.65324469981863
0,0,1,534,529.63538742706157
0,0,1,527,522.25821832431336
0,0,1,521,516.73293887165232
0,0,1,518,513.42902618509913
0,0,1,515,509.89017548299017
0,0,1,510,505.15765762493436
0,0,1,507,502.91428400618838
0,0,1,502,497.10877590720196
0,0,1,496,491.65405876569901
0,0,1,494,489.07218435115033
0,0,1,493,488.64515574110095
0,0,1,492,487.67296167266431
0,0,1,490,485.40584025359863
0,0,1,487,482.4304560422986
0,0,1,485,480.15159227977836
0,0,1,483,478.59262627217123
0,0,1,481,476.83678547242312
0,0,1,478,473.96365394923907
0,0,1,477,472.95352738808464
0,0,1,477,472.64020040882707
0,0,1,476,471.28124746970167
0,0,1,475,471.18817002496155
0,0,1,475,471.03816607006939
0,0,1,475,470.63046387980398
0,0,1,473,468.49793776680394
0,0,1,475,470.76282678193189
0,0,1,475,471.17520288647387
0,0,1,475,470.3852113844178
0,0,1,474,469.29551230175093
0,0,1,474,469.32695082535184
0,0,1,475,470.55146769671427
0,0,1,475,470.7066934299196
0,0,1,475,470.87116511480701
0,0,1,479,474.27968009203323
0,0,1,486,481.22525247639317
0,0,1,489,484.61410002704514
0,0,1,492,487.57730228426198
3,0,1,497,492.42418168117644
3,0,1,500,495.30833391346243
3,0,1,505,500.69021143814302
3,0,1,508,503.20618606684087
3,0,1,513,508.51230374262025
3,0,1,515,510.54209925644176
3,0,1,519,514.61189834164463
3,0,1,523,518.73437365306575
3,0,1,525,520.27116665186475
3,0,1,527,522.65188687601244
3,0,1,531,526.3863712997653
3,0,1,534,529.29211977462751
3,0,1,536,531.17061516036097
3,0,1,539,534.07218267843768
3,0,1,543,538.39835401852304
3,0,1,546,540.92061365633833
3,0,1,548,542.78596748152006
3,0,1,550,544.55771412502486
3,0,1,551,545.77503620724985
3,0,1,553,547.6449988100253
3,0,1,553,547.70265080141519
3,0,1,553,548.16250734431924
3,0,1,556,551.11113043415946
3,0,1,560,555.1227009104208
3,0,1,561,556.11436495667022
3,0,1,565,560.09994263032786
3,0,1,567,561.89073481269338
3,0,1,566,560.68093265571429
3,0,1,568,562.53212565085221
3,0,1,569,563.68829542246851
3,0,1,570,564.39128800116862
3,0,1,572,566.64640550674494
3,0,1,572,566.46566446243116
3,0,1,573,568.08731064777714
3,0,1,575,570.10654260496619
3,0,1,575,569.79483860779089
3,0,1,577,571.38324085532861
3,0,1,579,573.2980144512195
3,0,1,579,573.44432338717672
3,0,1,574,568.42384247160271
3,0,1,579,573.4291182397975
3,0,1,572,566.96739232330935
3,0,1,572,566.79528442838966
3,0,1,574,568.49929370256348
3,0,1,574,568.63065230323195
0,0,1,572,566.45318300155736
0,0,1,578,572.27206853146015
0,0,1,576,571.0302647160504
0,0,1,569,563.4573309857202
0,0,1,565,559.70440656042854
0,0,1,567,562.10315231919139
0,0,1,562,556.84914898199111
0,0,1,557,551.51681543721236
0,0,1,550,544.70440976064071
0,0,1,542,536.99911402770829
0,0,1,537,532.29133617904097
0,0,1,534,528.82152428620191
0,0,1,529,524.01346427007206
0,0,1,526,521.30248532749545
0,0,1,522,516.83294642591136
0,0,1,516,511.35776290265602
0,0,1,514,509.31613646403383
0,0,1,511,506.42306489821954
0,0,1,506,501.62880454306537
0,0,1,505,500.06491848774471
0,0,1,503,498.78676357805745
0,0,1,502,497.47075432953818
0,0,1,500,495.01370664649477
0,0,1,497,492.59289409763431
0,0,1,497,492.39547741949502
0,0,1,493,488.92788787437343
0,0,1,491,486.62757024535853
0,0,1,492,487.76644857301022
0,0,1,490,485.76186077114716
0,0,1,489,484.78188998070988
0,0,1,490,485.79288595954955
0,0,1,487,482.38686006091126
0,0,1,487,482.71080570588703
0,0,1,486,481.6534658022365
0,0,1,486,482.02268160362109
0,0,1,485,480.73514558863178
0,0,1,485,480.63807573727706
0,0,1,484,479.91667323570027
0,0,1,483,478.50625685205961
0,0,1,483,478.32556164851854
0,0,1,483,479.10603916391744
0,0,1,482,477.31215242775636
0,0,1,482,477.41584687061692
0,0,1,482,477.84820749208887
0,0,1,481,476.29454780500049
0,0,1,480,475.93954892746279
0,0,1,480,475.68648141096583
0,0,1,481,476.84723877102152
0,0,1,480,475.86678076911289
0,0,1,481,476.55307577695766
0,0,1,481,476.41606585157274
0,0,1,480,475.57830424586223
0,0,1,479,474.53469749920833
0,0,1,478,473.78080755420928
0,0,1,475,471.01627589419638
0,0,1,477,473.14721291908097
0,0,1,478,473.49607851116383
0,0,1,477,473.19640066570628
0,0,1,477,473.2029119200165
0,0,1,477,472.68240744871736
0,0,1,477,472.34102015835731
0,0,1,477,472.553962955423
0,0,1,477,472.68633902882112
0,0,1,477,473.21220930868344
0,0,1,477,473.1972591054091
0,0,1,478,473.43026935857733
0,0,1,479,475.14459536742686
0,0,1,479,474.56549634768572
0,0,1,478,474.07344093210577
0,0,1,477,473.11787035746272
0,0,1,477,473.13514717927688
0,0,1,476,471.82922679078263
0,0,1,476,471.70262669891918
0,0,1,476,471.70333212691702
0,0,1,476,471.89686090702787
0,0,1,475,470.57594508573976
0,0,1,476,471.71810310183128
0,0,1,475,471.11669492199593
0,0,1,475,470.94344628893055
0,0,1,475,470.35268610253763
0,0,1,475,470.29206903327088
0,0,1,475,470.80568917039824
0,0,1,474,469.56980441523518
0,0,1,473,469.12377932881208
0,0,1,472,467.58791865058851
0,0,1,472.5,468.07052613193906
0,0,1,473,468.82133146434734
0,0,1,473.5,469.47052115986173
0,0,1,474,470.13395976763724
0,0,1,473,468.73054471971125
0,0,1,472,467.87137108792831
0,0,1,471.5,467.37806054809886
0,0,1,471,466.32743827768502
0,0,1,471,466.44804168125484
0,0,1,471,467.26285876838887
0,0,1,471,466.4074194586774
0,0,1,471,467.0671461168032
0,0,1,471,466.86426706515158
0,0,1,471,466.86909938777421
0,0,1,470.5,466.09724684363385
0,0,1,470,465.71309698700026
0,0,1,469.5,465.68576231155907
0,0,1,469,464.59072068811901
0,0,1,469,465.04502482220312
0,0,1,469,464.80610239498583
0,0,1,469,464.56797683053065
0,0,1,469,464.81929471823366
0,0,1,469,465.1252266819256
0,0,1,469,465.27606751043061
0,0,1,469.5,464.82727796723049
0,0,1,470,465.92971572010663
0,0,1,470.5,466.08593240899211
0,0,1,471,466.36020210973714
0,0,1,471,466.41006572133176
0,0,1,471,466.37415902909311
0,0,1,470,465.61973473491594
0,0,1,469,464.42662642356947
0,0,1,468,463.37814197793978
0,0,1,467,463.27567702765691
0,0,1,467.5,462.87108034679778
0,0,1,468,463.79053331213947
0,0,1,468,463.40239965450621
0,0,1,468,463.50300342241553
0,0,1,467.5,463.48009488629503
0,0,1,467,462.57708017249553
0,0,1,467,462.55867889818387
0,0,1,467,462.45433661246642
0,0,1,467,463.14167255835292
0,0,1,467,462.89554535071107
0,0,1,467,462.54190910469487
0,0,1,467,462.37455538728426
0,0,1,467.5,463.58019549662606
0,0,1,468,464.14795585402169
0,0,1,469,465.00461949330077
0,0,1,470,465.78441387626509
0,0,1,469.5,465.51342390905313
0,0,1,469,465.05508183816943
0,0,1,468.5,464.48321022374142
0,0,1,468,463.4586015670306
0,0,1,467.5,463.09424464693325
0,0,1,467,462.36071372224569
0,0,1,467.5,463.50230104100035
0,0,1,468,464.21971259838153
0,0,1,467.5,463.17510076433553
0,0,1,467,462.46267083373885
0,0,1,466.5,462.33838673244423
0,0,1,466,462.23256218324201
0,0,1,465.5,461.71246617904546
0,0,1,465,461.33056861824105
0,0,1,465,460.67315140575312
0,0,1,465,461.05892406848886
0,0,1,465.5,460.99375778640734
0,0,1,466,461.55081109653287
0,0,1,466,461.70749223523785
0,0,1,466,462.24054685502813
0,0,1,465.5,461.19415350469876
0,0,1,465,460.57188860510837
0,0,1,464,460.30586796478684
0,0,1,463,459.03672246171197
0,0,1,463.5,459.85760576375208
0,0,1,464,459.9306839294531
0,0,1,463.5,459.46401129703901
0,0,1,463,459.05193419548993
0,0,1,463,458.80030838383738
0,0,1,463,458.79290385671459
0,0,1,462.5,458.56646891843371
0,0,1,462,457.93414489684955
